Date,Open,High,Low,Close,Volume,Exchange
2021-09-15,3882.10,3980.00,3866.00,3954.55,2461369,NSE
2021-09-14,3849.95,3896.50,3825.00,3885.90,1991188,NSE
2021-09-13,3767.00,3852.40,3767.00,3845.35,1691473,NSE
2021-09-09,3789.70,3808.70,3765.00,3791.40,1441148,NSE
2021-09-08,3810.00,3815.00,3756.00,3774.15,4147175,NSE
2021-09-07,3864.00,3869.95,3808.25,3815.90,1585039,NSE
2021-09-06,3849.70,3877.60,3814.00,3852.00,1723693,NSE
2021-09-03,3825.00,3856.90,3804.55,3842.05,1746812,NSE
2021-09-02,3734.00,3859.15,3722.00,3836.75,3403717,NSE
2021-09-01,3796.00,3816.70,3707.00,3714.95,2643336,NSE
2021-08-31,3709.40,3804.10,3703.45,3786.45,3207480,NSE
2021-08-30,3715.00,3740.35,3687.60,3701.30,2033114,NSE
2021-08-27,3666.00,3729.50,3651.10,3720.15,3944728,NSE
2021-08-26,3660.00,3687.60,3647.90,3671.85,1902533,NSE
2021-08-25,3610.00,3697.75,3607.05,3659.00,2123263,NSE
2021-08-24,3657.00,3667.35,3594.40,3613.20,2511141,NSE
2021-08-23,3580.00,3673.00,3561.90,3637.40,3744176,NSE
2021-08-20,3506.00,3575.00,3500.00,3559.50,2836148,NSE
2021-08-18,3573.85,3595.00,3536.60,3560.55,2631309,NSE
2021-08-17,3482.10,3560.80,3463.00,3553.05,4336019,NSE
2021-08-16,3460.00,3494.35,3436.50,3472.95,2083489,NSE
2021-08-13,3360.75,3480.00,3357.50,3463.40,4363584,NSE
2021-08-12,3326.00,3368.00,3326.00,3351.75,1310205,NSE
2021-08-11,3350.00,3360.00,3327.10,3344.20,1929707,NSE
2021-08-10,3315.60,3349.90,3315.60,3333.90,2040777,NSE
2021-08-09,3323.90,3337.00,3310.00,3322.70,1510489,NSE
2021-08-06,3272.55,3324.00,3265.00,3309.80,2292362,NSE
2021-08-05,3275.00,3315.00,3262.50,3283.95,2534521,NSE
2021-08-04,3300.00,3305.20,3261.20,3273.95,2929598,NSE
2021-08-03,3229.00,3290.00,3218.95,3284.90,3804735,NSE
2021-08-02,3180.00,3224.90,3167.00,3219.40,2608669,NSE
2021-07-30,3219.00,3223.50,3162.35,3167.45,2999943,NSE
2021-07-29,3200.25,3225.45,3190.30,3195.80,1731997,NSE
2021-07-28,3188.00,3204.45,3132.40,3197.80,1660654,NSE
2021-07-27,3200.00,3210.00,3161.15,3182.95,1121367,NSE
2021-07-26,3200.00,3224.25,3190.85,3197.55,1259611,NSE
2021-07-23,3230.00,3241.55,3206.65,3212.85,1776193,NSE
2021-07-22,3190.00,3224.95,3190.00,3216.35,2859334,NSE
2021-07-20,3184.60,3215.00,3156.15,3205.80,1811945,NSE
2021-07-19,3180.00,3199.80,3176.00,3184.60,1597058,NSE
2021-07-16,3213.00,3219.85,3192.00,3194.80,1256526,NSE
2021-07-15,3227.60,3231.85,3194.00,3202.95,2232968,NSE
2021-07-14,3187.00,3222.00,3185.00,3214.55,2044279,NSE
2021-07-13,3214.00,3214.00,3175.00,3187.55,1809339,NSE
2021-07-12,3235.00,3236.00,3188.35,3193.10,1892226,NSE
